Filename,Status,Quality_Score,Sharpness,Brightness,Contrast,FOV_Coverage,Uniformity,Glare_Ratio,Reason,Actionable_Guidance
IDRiD_050.jpg,PASS,0.923,193.7,110.2,21.3,69.2%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_051.jpg,PASS,0.668,135.7,80.0,14.4,69.1%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_052.jpg,REJECT,0.544,86.6,74.7,15.8,69.1%,0.74,0.00%,"Composite quality score (0.54 < 0.6) due to marginal sharpness, suboptimal illumination, low tissue contrast",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_053.jpg,PASS,0.908,229.4,91.8,18.6,69.2%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_054.jpg,PASS,0.899,204.6,103.8,17.9,69.4%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_055.jpg,PASS,0.94,188.6,107.8,23.6,70.1%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_056.jpg,REJECT,0.447,85.8,64.7,13.6,69.1%,0.82,0.00%,"Composite quality score (0.45 < 0.6) due to marginal sharpness, suboptimal illumination, low tissue contrast",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_057.jpg,PASS,0.954,277.4,114.4,23.4,69.4%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_058.jpg,PASS,0.869,195.3,82.9,23.3,69.1%,0.69,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_059.jpg,PASS,0.833,133.6,94.0,24.8,69.1%,0.67,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_060.jpg,PASS,0.937,230.6,130.0,29.3,71.5%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_061.jpg,PASS,0.939,208.8,129.5,36.0,72.4%,0.85,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_062.jpg,PASS,0.963,205.4,104.1,24.1,69.5%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_063.jpg,PASS,0.825,157.2,89.3,18.1,69.2%,0.83,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_064.jpg,PASS,0.859,154.2,90.4,22.8,69.1%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_065.jpg,PASS,0.913,187.2,99.6,21.9,69.3%,0.77,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_066.jpg,PASS,0.927,218.4,109.2,20.8,69.2%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_067.jpg,PASS,0.885,185.9,93.2,19.8,69.2%,0.75,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_068.jpg,PASS,0.782,174.8,84.5,15.3,69.1%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_069.jpg,PASS,0.917,191.7,87.0,25.7,69.1%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_070.jpg,PASS,0.871,192.8,98.3,15.6,69.3%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_071.jpg,PASS,0.769,176.1,78.3,20.1,69.1%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_072.jpg,PASS,0.752,185.8,76.8,17.6,69.1%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_073.jpg,PASS,0.914,238.5,126.1,21.6,69.6%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_074.jpg,PASS,0.917,185.4,99.6,23.5,69.2%,0.72,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_075.jpg,PASS,0.732,134.4,84.0,16.8,69.2%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_076.jpg,PASS,0.665,103.6,82.0,18.6,69.1%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_077.jpg,PASS,0.914,197.3,134.5,34.0,70.6%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_078.jpg,PASS,0.927,241.8,129.2,28.9,70.6%,0.77,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_079.jpg,PASS,0.909,211.3,91.1,18.3,69.1%,0.84,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_080.jpg,PASS,0.921,196.5,91.7,22.4,69.1%,0.69,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_081.jpg,REJECT,0.845,148.9,118.5,49.1,70.2%,0.56,0.00%,Severe uneven illumination (uniformity: 0.56 < 0.60),Pupil shadow detected; realign camera perpendicularly with pupil axis.
IDRiD_082.jpg,PASS,0.95,194.8,110.9,26.1,69.3%,0.72,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_083.jpg,PASS,0.768,171.6,80.4,17.1,69.1%,0.85,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_084.jpg,PASS,0.654,154.6,68.9,18.8,69.1%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_085.jpg,REJECT,0.5,145.7,57.3,13.7,69.0%,0.72,0.00%,Image underexposed (57.3 < 60.0),Lighting too dark; increase camera flash intensity or check pupil dilation.
IDRiD_086.jpg,REJECT,0.51,139.8,61.4,13.9,69.1%,0.76,0.00%,"Composite quality score (0.51 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_087.jpg,PASS,0.856,146.1,92.4,26.2,69.2%,0.67,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_088.jpg,PASS,0.837,169.7,84.4,22.8,69.1%,0.72,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_089.jpg,PASS,0.652,131.7,70.3,19.7,70.6%,0.93,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_090.jpg,REJECT,0.571,86.9,71.9,21.4,69.1%,0.71,0.00%,"Composite quality score (0.57 < 0.6) due to marginal sharpness, suboptimal illumination",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment.
IDRiD_091.jpg,PASS,0.835,172.0,86.9,19.6,69.2%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_092.jpg,PASS,0.895,214.5,89.0,17.3,69.2%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_093.jpg,PASS,0.771,188.4,79.2,14.9,69.1%,0.88,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_094.jpg,PASS,0.688,157.7,76.8,15.7,69.1%,0.77,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_095.jpg,PASS,0.955,221.1,123.8,27.3,71.2%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_096.jpg,PASS,0.853,183.2,92.6,16.2,69.2%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_097.jpg,PASS,0.932,219.6,121.4,20.6,69.9%,0.88,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_098.jpg,PASS,0.787,134.5,96.9,17.4,69.2%,0.85,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_099.jpg,PASS,0.804,134.5,96.5,19.8,69.3%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_100.jpg,PASS,0.73,162.7,79.8,16.9,69.1%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_101.jpg,PASS,0.936,206.3,102.1,22.2,69.2%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_102.jpg,PASS,0.929,179.9,110.1,27.3,70.3%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_103.jpg,REJECT,0.667,145.7,69.7,27.8,69.1%,0.55,0.00%,Severe uneven illumination (uniformity: 0.55 < 0.60),Pupil shadow detected; realign camera perpendicularly with pupil axis.
IDRiD_104.jpg,PASS,0.888,182.8,97.0,19.7,69.2%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_105.jpg,PASS,0.912,186.7,94.3,22.5,69.2%,0.73,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_106.jpg,PASS,0.883,158.5,106.7,23.7,70.3%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_107.jpg,REJECT,0.63,78.4,80.6,22.6,69.3%,0.64,0.00%,Blur detected (78.4 < 80.0),Patient moved or camera out-of-focus; hold camera steady and refocus.
IDRiD_108.jpg,PASS,0.914,201.7,102.4,18.1,69.3%,0.89,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_109.jpg,PASS,0.724,112.4,103.4,14.4,69.4%,0.89,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_110.jpg,PASS,0.645,90.2,85.5,15.0,69.2%,0.83,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_111.jpg,REJECT,0.515,69.0,74.4,14.3,69.1%,0.88,0.00%,Blur detected (69.0 < 80.0),Patient moved or camera out-of-focus; hold camera steady and refocus.
IDRiD_112.jpg,PASS,0.908,195.8,91.2,21.1,69.3%,0.7,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_113.jpg,PASS,0.9,190.9,99.8,18.4,69.6%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_114.jpg,PASS,0.801,174.0,88.5,12.9,69.3%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_115.jpg,PASS,0.856,152.3,86.8,36.4,69.1%,0.78,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_116.jpg,PASS,0.938,238.6,123.5,23.2,69.3%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_117.jpg,PASS,0.887,187.8,95.5,18.6,69.1%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_118.jpg,PASS,0.916,199.5,94.0,19.7,69.3%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_119.jpg,PASS,0.841,166.5,87.8,21.2,69.1%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_120.jpg,PASS,0.912,184.0,94.3,22.4,69.2%,0.77,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_121.jpg,PASS,0.915,200.2,102.5,19.1,69.3%,0.83,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_122.jpg,REJECT,0.537,146.4,61.1,15.7,69.1%,0.77,0.00%,"Composite quality score (0.54 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_123.jpg,PASS,0.91,197.7,101.6,18.9,69.3%,0.84,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_124.jpg,REJECT,0.294,42.7,43.7,12.3,69.1%,0.64,0.00%,Blur detected (42.7 < 80.0); Image underexposed (43.7 < 60.0),Patient moved or camera out-of-focus; hold camera steady and refocus. | Lighting too dark; increase camera flash intensity or check pupil dilation.
IDRiD_125.jpg,PASS,0.869,199.5,89.1,16.3,69.2%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_126.jpg,PASS,0.884,182.2,91.7,18.4,69.2%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_127.jpg,REJECT,0.526,103.3,67.4,15.4,69.1%,0.86,0.00%,"Composite quality score (0.53 < 0.6) due to marginal sharpness, suboptimal illumination, low tissue contrast",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_128.jpg,PASS,0.959,219.1,119.3,24.1,69.3%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_129.jpg,PASS,0.919,177.8,96.6,24.8,69.5%,0.73,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_130.jpg,REJECT,0.564,153.5,64.0,14.2,69.1%,0.8,0.00%,"Composite quality score (0.56 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_131.jpg,PASS,0.841,177.8,102.2,15.0,69.4%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_132.jpg,PASS,0.8,124.2,100.9,22.1,69.0%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_133.jpg,PASS,0.83,123.9,97.7,23.8,71.3%,0.84,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_134.jpg,PASS,0.903,214.5,90.6,17.7,69.4%,0.84,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_135.jpg,PASS,0.905,179.7,90.4,23.4,69.3%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_136.jpg,REJECT,0.435,86.7,65.9,11.1,69.1%,0.82,0.00%,Low tissue contrast (11.1 < 12.0),Possible media opacity (cataract) or dirty lens; verify lens cleanliness.
IDRiD_137.jpg,REJECT,0.447,84.5,69.0,8.3,69.2%,0.94,0.00%,Low tissue contrast (8.3 < 12.0),Possible media opacity (cataract) or dirty lens; verify lens cleanliness.
IDRiD_138.jpg,PASS,0.863,175.4,84.8,25.4,69.2%,0.66,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_139.jpg,PASS,0.684,163.0,70.2,20.9,69.1%,0.69,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_140.jpg,PASS,0.7,164.1,70.7,22.5,69.1%,0.66,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_141.jpg,PASS,0.959,212.8,105.9,24.2,69.3%,0.78,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_142.jpg,PASS,0.712,178.6,73.7,17.9,69.1%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_143.jpg,PASS,0.737,191.5,71.6,18.3,69.1%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_144.jpg,PASS,0.953,210.2,98.7,22.8,69.2%,0.83,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_145.jpg,PASS,0.792,205.0,71.3,25.5,69.1%,0.65,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_146.jpg,REJECT,0.512,120.9,51.5,21.6,69.2%,0.56,0.00%,Image underexposed (51.5 < 60.0); Severe uneven illumination (uniformity: 0.56 < 0.60),Lighting too dark; increase camera flash intensity or check pupil dilation. | Pupil shadow detected; realign camera perpendicularly with pupil axis.
IDRiD_147.jpg,REJECT,0.49,109.0,47.3,19.3,69.0%,0.71,0.00%,Image underexposed (47.3 < 60.0),Lighting too dark; increase camera flash intensity or check pupil dilation.
IDRiD_148.jpg,REJECT,0.453,115.4,46.6,14.7,69.0%,0.69,0.00%,Image underexposed (46.6 < 60.0),Lighting too dark; increase camera flash intensity or check pupil dilation.
IDRiD_149.jpg,REJECT,0.475,123.3,49.7,15.2,69.1%,0.71,0.00%,Image underexposed (49.7 < 60.0),Lighting too dark; increase camera flash intensity or check pupil dilation.
IDRiD_150.jpg,REJECT,0.563,151.3,63.5,16.2,69.1%,0.72,0.00%,"Composite quality score (0.56 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_151.jpg,REJECT,0.583,160.8,66.2,12.1,69.1%,0.86,0.00%,"Composite quality score (0.58 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
